Time,SrcIP,SrcPort,DstIP,DstPort,PacketSIZE,Session_id
2018-01-03 09:07:01,192.168.0.19,212,123.234.23.9,300,49.0,25133
2018-01-03 09:07:02,123.234.23.9,300,192.168.0.19,212,52.0,25133
2018-01-03 09:07:03,192.168.0.19,212,123.234.23.9,300,245.0,25133
2018-01-03 09:07:04,123.234.23.9,300,192.168.0.19,212,492.0,25133
2018-01-03 10:06:01,192.168.0.19,170,143.234.223.248,13,56.0,7016
2018-01-03 10:06:02,143.234.223.248,13,192.168.0.19,170,250.0,7016
2018-01-03 10:06:03,192.168.0.19,170,143.234.223.248,13,251.0,7016
2018-01-03 10:06:04,143.234.223.248,13,192.168.0.19,170,5003.0,7016
2018-01-04 09:07:01,192.168.0.19,158,123.234.23.49,300,57.0,3350
2018-01-04 09:07:02,123.234.23.49,300,192.168.0.19,158,47.0,3350
2018-01-04 09:07:03,192.168.0.19,158,123.234.23.49,300,254.0,3350
2018-01-04 09:07:04,123.234.23.49,300,192.168.0.19,158,491.0,3350
2018-01-04 10:06:01,192.168.0.19,207,143.234.223.60,18,54.0,10949
2018-01-04 10:06:02,143.234.223.60,18,192.168.0.19,207,248.0,10949
2018-01-04 10:06:03,192.168.0.19,207,143.234.223.60,18,250.0,10949
2018-01-04 10:06:04,143.234.223.60,18,192.168.0.19,207,5000.0,10949
2018-01-05 09:07:01,192.168.0.19,125,123.234.23.222,300,50.0,37499
2018-01-05 09:07:02,123.234.23.222,300,192.168.0.19,125,47.0,37499
2018-01-05 09:07:03,192.168.0.19,125,123.234.23.222,300,251.0,37499
2018-01-05 09:07:04,123.234.23.222,300,192.168.0.19,125,484.0,37499
2018-01-05 10:06:01,192.168.0.19,126,143.234.223.43,17,44.0,44336
2018-01-05 10:06:02,143.234.223.43,17,192.168.0.19,126,246.0,44336
2018-01-05 10:06:03,192.168.0.19,126,143.234.223.43,17,248.0,44336
2018-01-05 10:06:04,143.234.223.43,17,192.168.0.19,126,4995.0,44336
2018-01-06 00:18:01,192.168.0.19,154,123.234.23.157,300,49.0,1004
2018-01-06 00:18:02,123.234.23.157,300,192.168.0.19,154,41.0,1004
2018-01-06 00:18:03,192.168.0.19,154,123.234.23.157,300,258.0,1004
2018-01-06 00:18:04,123.234.23.157,300,192.168.0.19,154,453.0,1004
2018-01-06 01:06:01,192.168.0.19,113,143.234.223.156,12,53.0,43538
2018-01-06 01:06:02,143.234.223.156,12,192.168.0.19,113,252.0,43538
2018-01-06 01:06:03,192.168.0.19,113,143.234.223.156,12,247.0,43538
2018-01-06 01:06:04,143.234.223.156,12,192.168.0.19,113,5000.0,43538
2018-01-07 00:18:01,192.168.0.19,155,123.234.23.107,300,49.0,41349
2018-01-07 00:18:02,123.234.23.107,300,192.168.0.19,155,52.0,41349
2018-01-07 00:18:03,192.168.0.19,155,123.234.23.107,300,242.0,41349
2018-01-07 00:18:04,123.234.23.107,300,192.168.0.19,155,507.0,41349
2018-01-07 01:06:01,192.168.0.19,105,143.234.223.236,16,47.0,13370
2018-01-07 01:06:02,143.234.223.236,16,192.168.0.19,105,249.0,13370
2018-01-07 01:06:03,192.168.0.19,105,143.234.223.236,16,244.0,13370
2018-01-07 01:06:04,143.234.223.236,16,192.168.0.19,105,4999.0,13370
2018-01-03 09:07:01,192.168.0.19,199,123.234.23.41,300,48.0,58381
2018-01-03 09:07:02,123.234.23.41,300,192.168.0.19,199,48.0,58381
2018-01-03 09:07:03,192.168.0.19,199,123.234.23.41,300,254.0,58381
2018-01-03 09:07:04,123.234.23.41,300,192.168.0.19,199,545.0,58381
2018-01-03 10:06:01,192.168.0.19,140,143.234.223.189,14,39.0,33260
2018-01-03 10:06:02,143.234.223.189,14,192.168.0.19,140,255.0,33260
2018-01-03 10:06:03,192.168.0.19,140,143.234.223.189,14,244.0,33260
2018-01-03 10:06:04,143.234.223.189,14,192.168.0.19,140,4998.0,33260
