Time,SrcIP,SrcPort,DstIP,DstPort,PacketSIZE,Session_id,vendor
2018-01-01 00:15:03,192.168.0.105,10882,13.228.14.18,3285,51.0,8131,Home_camera
2018-01-01 00:15:04,13.228.14.18,3285,192.168.0.105,10882,46.0,8131,Home_camera
2018-01-01 00:30:24,192.168.0.105,61428,13.228.14.18,4085,51.0,8800,Home_camera
2018-01-01 00:30:25,13.228.14.18,4085,192.168.0.105,61428,46.0,8800,Home_camera
2018-01-01 00:45:30,192.168.0.105,15024,13.228.14.18,1668,51.0,36401,Home_camera
2018-01-01 00:45:31,13.228.14.18,1668,192.168.0.105,15024,42.0,36401,Home_camera
2018-01-01 01:00:52,192.168.0.105,41966,13.228.14.18,4456,53.0,47950,Home_camera
2018-01-01 01:00:53,13.228.14.18,4456,192.168.0.105,41966,48.0,47950,Home_camera
2018-01-01 01:15:06,192.168.0.105,28835,13.228.14.18,1171,53.0,23118,Home_camera
2018-01-01 01:15:07,13.228.14.18,1171,192.168.0.105,28835,48.0,23118,Home_camera
2018-01-01 01:30:29,192.168.0.105,22736,13.228.14.18,763,42.0,18357,Home_camera
2018-01-01 01:30:30,13.228.14.18,763,192.168.0.105,22736,47.0,18357,Home_camera
2018-01-01 01:45:03,192.168.0.105,36655,13.228.14.18,3415,46.0,61094,Home_camera
2018-01-01 01:45:04,13.228.14.18,3415,192.168.0.105,36655,51.0,61094,Home_camera
2018-01-01 02:00:53,192.168.0.105,50887,13.228.14.18,1426,51.0,46553,Home_camera
2018-01-01 02:00:54,13.228.14.18,1426,192.168.0.105,50887,51.0,46553,Home_camera
2018-01-01 02:15:46,192.168.0.105,54700,13.228.14.18,778,51.0,38573,Home_camera
2018-01-01 02:15:47,13.228.14.18,778,192.168.0.105,54700,50.0,38573,Home_camera
2018-01-01 02:30:31,192.168.0.105,32506,13.228.14.18,607,47.0,63659,Home_camera
2018-01-01 02:30:32,13.228.14.18,607,192.168.0.105,32506,56.0,63659,Home_camera
2018-01-01 02:45:57,192.168.0.105,24067,13.228.14.18,145,47.0,43945,Home_camera
2018-01-01 02:45:58,13.228.14.18,145,192.168.0.105,24067,48.0,43945,Home_camera
2018-01-01 03:00:53,192.168.0.105,5253,13.228.14.18,2526,43.0,3434,Home_camera
2018-01-01 03:00:54,13.228.14.18,2526,192.168.0.105,5253,51.0,3434,Home_camera
2018-01-01 03:15:22,192.168.0.105,4053,13.228.14.18,2856,47.0,21605,Home_camera
2018-01-01 03:15:23,13.228.14.18,2856,192.168.0.105,4053,47.0,21605,Home_camera
2018-01-01 03:30:25,192.168.0.105,6529,13.228.14.18,1514,58.0,8426,Home_camera
2018-01-01 03:30:26,13.228.14.18,1514,192.168.0.105,6529,43.0,8426,Home_camera
2018-01-01 03:45:58,192.168.0.105,60619,13.228.14.18,4668,52.0,52500,Home_camera
2018-01-01 03:45:59,13.228.14.18,4668,192.168.0.105,60619,57.0,52500,Home_camera
2018-01-01 04:00:04,192.168.0.105,47160,13.228.14.18,1395,47.0,42518,Home_camera
2018-01-01 04:00:05,13.228.14.18,1395,192.168.0.105,47160,59.0,42518,Home_camera
2018-01-01 04:15:59,192.168.0.105,39043,13.228.14.18,197,48.0,40536,Home_camera
2018-01-01 04:16:00,13.228.14.18,197,192.168.0.105,39043,50.0,40536,Home_camera
2018-01-01 04:30:54,192.168.0.105,11375,13.228.14.18,1524,61.0,1810,Home_camera
2018-01-01 04:30:55,13.228.14.18,1524,192.168.0.105,11375,52.0,1810,Home_camera
2018-01-01 04:45:14,192.168.0.105,40267,13.228.14.18,4022,48.0,45267,Home_camera
2018-01-01 04:45:15,13.228.14.18,4022,192.168.0.105,40267,49.0,45267,Home_camera
2018-01-01 05:00:57,192.168.0.105,56800,13.228.14.18,988,47.0,53032,Home_camera
2018-01-01 05:00:58,13.228.14.18,988,192.168.0.105,56800,53.0,53032,Home_camera
2018-01-01 05:15:22,192.168.0.105,30603,13.228.14.18,127,56.0,34312,Home_camera
2018-01-01 05:15:23,13.228.14.18,127,192.168.0.105,30603,49.0,34312,Home_camera
2018-01-01 05:30:42,192.168.0.105,54321,13.228.14.18,4765,52.0,52434,Home_camera
2018-01-01 05:30:43,13.228.14.18,4765,192.168.0.105,54321,58.0,52434,Home_camera
