,0,1
0,E0-43-DB,"Shenzhen ViewAt Technology Co.,Ltd. "
1,24-05-F5,Integrated Device Technology (Malaysia) Sdn. Bhd.
2,3C-D9-2B,Hewlett Packard
3,9C-8E-99,Hewlett Packard
4,B4-99-BA,Hewlett Packard
5,1C-C1-DE,Hewlett Packard
6,3C-35-56,Cognitec Systems GmbH
7,00-50-BA,D-Link Corporation
8,00-17-9A,D-Link Corporation
9,1C-BD-B9,D-Link International
10,90-94-E4,D-Link International
11,28-10-7B,D-Link International
12,1C-7E-E5,D-Link International
13,C4-A8-1D,D-Link International
14,18-62-2C,Sagemcom Broadband SAS
15,7C-03-D8,Sagemcom Broadband SAS
16,E8-F1-B0,Sagemcom Broadband SAS
17,00-F8-71,DGS Denmark A/S
18,20-BB-76,COL GIOVANNI PAOLO SpA
19,2C-22-8B,CTR SRL
20,34-8A-AE,Sagemcom Broadband SAS
21,BC-EC-23,"SHENZHEN CHUANGWEI-RGB ELECTRONICS CO.,LTD"
22,AC-06-C7,ServerNet S.r.l.
23,CC-46-D6,"Cisco Systems, Inc"
24,48-AD-08,"HUAWEI TECHNOLOGIES CO.,LTD"
25,2C-AB-00,"HUAWEI TECHNOLOGIES CO.,LTD"
26,00-E0-FC,"HUAWEI TECHNOLOGIES CO.,LTD"
27,24-DF-6A,"HUAWEI TECHNOLOGIES CO.,LTD"
28,00-9A-CD,"HUAWEI TECHNOLOGIES CO.,LTD"
29,38-F2-3E,Microsoft Mobile Oy
30,58-AC-78,"Cisco Systems, Inc"
31,90-7F-61,"Chicony Electronics Co., Ltd."
32,28-BC-18,SourcingOverseas Co. Ltd
33,80-7A-BF,HTC Corporation
34,40-9F-87,Jide Technology (Hong Kong) Limited
35,3C-5A-B4,"Google, Inc."
36,00-1A-11,"Google, Inc."
37,D8-3C-69,Shenzhen TINNO Mobile Technology Corp.
38,74-AC-5F,"Qiku Internet Network Scientific (Shenzhen) Co., Ltd."
39,BC-83-A7,"SHENZHEN CHUANGWEI-RGB ELECTRONICS CO.,LTD"
40,00-03-47,Intel Corporation
41,00-11-75,Intel Corporation
