Time,SrcIP,SrcPort,DstIP,DstPort,Protocol,PacketSIZE,Session_id,vendor,service_name,version
2018-01-01 00:00:21,20-A7-87-4N-HL-UB,60862,13.123.0.12,1893,TCP,96,75830,SK_NUGU,s_firmware_check,0
2018-01-01 00:00:22,13.123.0.12,1893,20-A7-87-4N-HL-UB,60862,TCP,85,75830,SK_NUGU,s_firmware_check,0
2018-01-01 00:00:36,20-A7-87-4N-HL-UB,64075,13.123.0.12,1896,TCP,80,53567,SK_NUGU,s_firmware_check,0
2018-01-01 00:00:37,13.123.0.12,1896,20-A7-87-4N-HL-UB,64075,TCP,77,53567,SK_NUGU,s_firmware_check,0
2018-01-01 00:00:40,20-A7-87-4N-HL-UB,7981,13.123.0.12,1893,TCP,91,87976,SK_NUGU,s_firmware_check,0
2018-01-01 00:00:41,13.123.0.12,1893,20-A7-87-4N-HL-UB,7981,TCP,89,87976,SK_NUGU,s_firmware_check,0
2018-01-01 00:00:44,20-A7-87-4N-HL-UB,32673,13.123.0.12,1890,TCP,100,25008,SK_NUGU,s_firmware_check,0
2018-01-01 00:00:45,13.123.0.12,1890,20-A7-87-4N-HL-UB,32673,TCP,73,25008,SK_NUGU,s_firmware_check,0
2018-01-01 00:00:45,20-A7-87-4N-HL-UB,27990,13.123.0.12,1891,TCP,87,5725,SK_NUGU,s_firmware_check,0
2018-01-01 00:00:46,13.123.0.12,1891,20-A7-87-4N-HL-UB,27990,TCP,94,5725,SK_NUGU,s_firmware_check,0
2018-01-01 00:00:51,20-A7-87-4N-HL-UB,27542,13.123.0.12,1891,TCP,82,95105,SK_NUGU,s_firmware_check,0
2018-01-01 00:00:52,13.123.0.12,1891,20-A7-87-4N-HL-UB,27542,TCP,79,95105,SK_NUGU,s_firmware_check,0
2018-01-01 00:01:04,20-A7-87-4N-HL-UB,9359,13.123.0.12,1897,TCP,107,76680,SK_NUGU,s_firmware_check,0
2018-01-01 00:01:05,13.123.0.12,1897,20-A7-87-4N-HL-UB,9359,TCP,117,76680,SK_NUGU,s_firmware_check,0
2018-01-01 00:01:19,20-A7-87-4N-HL-UB,63616,13.123.0.12,1899,TCP,84,59522,SK_NUGU,s_firmware_check,0
2018-01-01 00:01:20,13.123.0.12,1899,20-A7-87-4N-HL-UB,63616,TCP,87,59522,SK_NUGU,s_firmware_check,0
2018-01-01 00:01:26,20-A7-87-4N-HL-UB,4260,13.123.0.12,1890,TCP,87,41296,SK_NUGU,s_firmware_check,0
2018-01-01 00:01:27,20-A7-87-4N-HL-UB,63933,13.123.0.12,1899,TCP,85,13355,SK_NUGU,s_firmware_check,0
2018-01-01 00:01:27,13.123.0.12,1890,20-A7-87-4N-HL-UB,4260,TCP,74,41296,SK_NUGU,s_firmware_check,0
2018-01-01 00:01:28,13.123.0.12,1899,20-A7-87-4N-HL-UB,63933,TCP,86,13355,SK_NUGU,s_firmware_check,0
2018-01-01 00:01:28,20-A7-87-4N-HL-UB,29426,13.123.0.12,1896,TCP,73,23105,SK_NUGU,s_firmware_check,0
2018-01-01 00:01:29,20-A7-87-4N-HL-UB,29311,13.123.0.12,1899,TCP,74,13253,SK_NUGU,s_firmware_check,0
2018-01-01 00:01:29,13.123.0.12,1896,20-A7-87-4N-HL-UB,29426,TCP,88,23105,SK_NUGU,s_firmware_check,0
2018-01-01 00:01:30,13.123.0.12,1899,20-A7-87-4N-HL-UB,29311,TCP,61,13253,SK_NUGU,s_firmware_check,0
2018-01-01 00:01:31,20-A7-87-4N-HL-UB,44484,13.123.0.12,1895,TCP,86,44802,SK_NUGU,s_firmware_check,0
2018-01-01 00:01:32,13.123.0.12,1895,20-A7-87-4N-HL-UB,44484,TCP,81,44802,SK_NUGU,s_firmware_check,0
2018-01-01 00:01:44,20-A7-87-4N-HL-UB,14026,13.123.0.12,1890,TCP,87,90499,SK_NUGU,s_firmware_check,0
2018-01-01 00:01:45,13.123.0.12,1890,20-A7-87-4N-HL-UB,14026,TCP,69,90499,SK_NUGU,s_firmware_check,0
2018-01-01 00:01:48,20-A7-87-4N-HL-UB,6884,13.123.0.12,1892,TCP,49,56364,SK_NUGU,s_firmware_check,0
2018-01-01 00:01:49,13.123.0.12,1892,20-A7-87-4N-HL-UB,6884,TCP,65,56364,SK_NUGU,s_firmware_check,0
2018-01-01 00:01:50,20-A7-87-4N-HL-UB,3907,13.123.0.12,1899,TCP,84,96975,SK_NUGU,s_firmware_check,0
2018-01-01 00:01:51,13.123.0.12,1899,20-A7-87-4N-HL-UB,3907,TCP,63,96975,SK_NUGU,s_firmware_check,0
2018-01-01 00:01:52,20-A7-87-4N-HL-UB,64075,13.123.0.12,1891,TCP,90,75498,SK_NUGU,s_firmware_check,0
2018-01-01 00:01:53,13.123.0.12,1891,20-A7-87-4N-HL-UB,64075,TCP,65,75498,SK_NUGU,s_firmware_check,0
2018-01-01 00:01:56,20-A7-87-4N-HL-UB,63956,13.123.0.12,1895,TCP,73,34205,SK_NUGU,s_firmware_check,0
2018-01-01 00:01:57,13.123.0.12,1895,20-A7-87-4N-HL-UB,63956,TCP,53,34205,SK_NUGU,s_firmware_check,0
2018-01-01 00:01:57,20-A7-87-4N-HL-UB,47635,13.123.0.12,1892,TCP,88,10313,SK_NUGU,s_firmware_check,0
2018-01-01 00:01:58,13.123.0.12,1892,20-A7-87-4N-HL-UB,47635,TCP,86,10313,SK_NUGU,s_firmware_check,0
2018-01-01 00:02:02,20-A7-87-4N-HL-UB,53761,13.123.0.12,1897,TCP,77,30457,SK_NUGU,s_firmware_check,0
2018-01-01 00:02:03,13.123.0.12,1897,20-A7-87-4N-HL-UB,53761,TCP,77,30457,SK_NUGU,s_firmware_check,0
2018-01-01 00:02:08,20-A7-87-4N-HL-UB,4738,13.123.0.12,1890,TCP,80,54567,SK_NUGU,s_firmware_check,0
2018-01-01 00:02:09,13.123.0.12,1890,20-A7-87-4N-HL-UB,4738,TCP,80,54567,SK_NUGU,s_firmware_check,0
2018-01-01 00:02:14,20-A7-87-4N-HL-UB,40495,13.123.0.12,1899,TCP,73,78116,SK_NUGU,s_firmware_check,0
2018-01-01 00:02:15,13.123.0.12,1899,20-A7-87-4N-HL-UB,40495,TCP,92,78116,SK_NUGU,s_firmware_check,0
2018-01-01 00:02:16,20-A7-87-4N-HL-UB,27832,13.123.0.12,1897,TCP,76,21625,SK_NUGU,s_firmware_check,0
2018-01-01 00:02:17,13.123.0.12,1897,20-A7-87-4N-HL-UB,27832,TCP,81,21625,SK_NUGU,s_firmware_check,0
2018-01-01 00:02:28,20-A7-87-4N-HL-UB,4303,13.123.0.12,1890,TCP,62,18519,SK_NUGU,s_firmware_check,0
2018-01-01 00:02:29,13.123.0.12,1890,20-A7-87-4N-HL-UB,4303,TCP,93,18519,SK_NUGU,s_firmware_check,0
2018-01-01 00:02:36,20-A7-87-4N-HL-UB,35623,13.123.0.12,1899,TCP,87,9507,SK_NUGU,s_firmware_check,0
2018-01-01 00:02:36,20-A7-87-4N-HL-UB,9212,13.123.0.12,1896,TCP,92,94064,SK_NUGU,s_firmware_check,0
2018-01-01 00:02:37,13.123.0.12,1899,20-A7-87-4N-HL-UB,35623,TCP,76,9507,SK_NUGU,s_firmware_check,0
2018-01-01 00:02:37,13.123.0.12,1896,20-A7-87-4N-HL-UB,9212,TCP,61,94064,SK_NUGU,s_firmware_check,0
2018-01-01 00:02:52,20-A7-87-4N-HL-UB,34373,13.123.0.12,1899,TCP,57,63410,SK_NUGU,s_firmware_check,0
2018-01-01 00:02:53,13.123.0.12,1899,20-A7-87-4N-HL-UB,34373,TCP,69,63410,SK_NUGU,s_firmware_check,0
2018-01-01 00:02:56,20-A7-87-4N-HL-UB,64511,13.123.0.12,1893,TCP,87,16947,SK_NUGU,s_firmware_check,0
2018-01-01 00:02:57,13.123.0.12,1893,20-A7-87-4N-HL-UB,64511,TCP,64,16947,SK_NUGU,s_firmware_check,0
2018-01-01 00:03:00,20-A7-87-4N-HL-UB,51191,13.123.0.12,1898,TCP,103,26113,SK_NUGU,s_firmware_check,0
2018-01-01 00:03:01,20-A7-87-4N-HL-UB,51987,13.123.0.12,1891,TCP,88,29578,SK_NUGU,s_firmware_check,0
2018-01-01 00:03:01,13.123.0.12,1898,20-A7-87-4N-HL-UB,51191,TCP,83,26113,SK_NUGU,s_firmware_check,0
2018-01-01 00:03:02,13.123.0.12,1891,20-A7-87-4N-HL-UB,51987,TCP,83,29578,SK_NUGU,s_firmware_check,0
2018-01-01 00:03:03,20-A7-87-4N-HL-UB,33226,13.123.0.12,1893,TCP,88,99970,SK_NUGU,s_firmware_check,0
2018-01-01 00:03:04,20-A7-87-4N-HL-UB,47085,13.123.0.12,1899,TCP,82,41165,SK_NUGU,s_firmware_check,0
2018-01-01 00:03:04,20-A7-87-4N-HL-UB,31484,13.123.0.12,1894,TCP,88,38985,SK_NUGU,s_firmware_check,0
2018-01-01 00:03:04,13.123.0.12,1893,20-A7-87-4N-HL-UB,33226,TCP,81,99970,SK_NUGU,s_firmware_check,0
2018-01-01 00:03:05,13.123.0.12,1894,20-A7-87-4N-HL-UB,31484,TCP,74,38985,SK_NUGU,s_firmware_check,0
2018-01-01 00:03:05,13.123.0.12,1899,20-A7-87-4N-HL-UB,47085,TCP,71,41165,SK_NUGU,s_firmware_check,0
2018-01-01 00:03:13,20-A7-87-4N-HL-UB,3907,13.123.0.12,1898,TCP,53,8843,SK_NUGU,s_firmware_check,0
2018-01-01 00:03:14,13.123.0.12,1898,20-A7-87-4N-HL-UB,3907,TCP,81,8843,SK_NUGU,s_firmware_check,0
2018-01-01 00:03:17,20-A7-87-4N-HL-UB,60911,13.123.0.12,1897,TCP,70,11051,SK_NUGU,s_firmware_check,0
2018-01-01 00:03:18,20-A7-87-4N-HL-UB,40495,13.123.0.12,1897,TCP,70,58305,SK_NUGU,s_firmware_check,0
2018-01-01 00:03:18,13.123.0.12,1897,20-A7-87-4N-HL-UB,60911,TCP,74,11051,SK_NUGU,s_firmware_check,0
2018-01-01 00:03:19,13.123.0.12,1897,20-A7-87-4N-HL-UB,40495,TCP,98,58305,SK_NUGU,s_firmware_check,0
2018-01-01 00:03:20,20-A7-87-4N-HL-UB,48068,13.123.0.12,1899,TCP,81,30795,SK_NUGU,s_firmware_check,0
2018-01-01 00:03:21,13.123.0.12,1899,20-A7-87-4N-HL-UB,48068,TCP,83,30795,SK_NUGU,s_firmware_check,0
2018-01-01 00:03:27,20-A7-87-4N-HL-UB,4921,13.123.0.12,1891,TCP,81,72593,SK_NUGU,s_firmware_check,0
2018-01-01 00:03:28,13.123.0.12,1891,20-A7-87-4N-HL-UB,4921,TCP,92,72593,SK_NUGU,s_firmware_check,0
2018-01-01 00:03:36,20-A7-87-4N-HL-UB,29311,13.123.0.12,1891,TCP,74,86165,SK_NUGU,s_firmware_check,0
2018-01-01 00:03:37,13.123.0.12,1891,20-A7-87-4N-HL-UB,29311,TCP,69,86165,SK_NUGU,s_firmware_check,0
2018-01-01 00:03:42,20-A7-87-4N-HL-UB,3046,13.123.0.12,1898,TCP,96,7617,SK_NUGU,s_firmware_check,0
2018-01-01 00:03:43,13.123.0.12,1898,20-A7-87-4N-HL-UB,3046,TCP,76,7617,SK_NUGU,s_firmware_check,0
2018-01-01 00:03:56,20-A7-87-4N-HL-UB,7541,13.123.0.12,1892,TCP,79,12624,SK_NUGU,s_firmware_check,0
2018-01-01 00:03:57,13.123.0.12,1892,20-A7-87-4N-HL-UB,7541,TCP,73,12624,SK_NUGU,s_firmware_check,0
2018-01-01 00:04:02,20-A7-87-4N-HL-UB,35623,13.123.0.12,1896,TCP,68,57237,SK_NUGU,s_firmware_check,0
2018-01-01 00:04:02,20-A7-87-4N-HL-UB,31959,13.123.0.12,1898,TCP,81,68462,SK_NUGU,s_firmware_check,0
2018-01-01 00:04:03,13.123.0.12,1898,20-A7-87-4N-HL-UB,31959,TCP,69,68462,SK_NUGU,s_firmware_check,0
2018-01-01 00:04:03,13.123.0.12,1896,20-A7-87-4N-HL-UB,35623,TCP,92,57237,SK_NUGU,s_firmware_check,0
2018-01-01 00:04:05,20-A7-87-4N-HL-UB,23086,13.123.0.12,1893,TCP,90,54245,SK_NUGU,s_firmware_check,0
2018-01-01 00:04:06,13.123.0.12,1893,20-A7-87-4N-HL-UB,23086,TCP,97,54245,SK_NUGU,s_firmware_check,0
2018-01-01 00:04:06,20-A7-87-4N-HL-UB,18605,13.123.0.12,1899,TCP,74,87899,SK_NUGU,s_firmware_check,0
2018-01-01 00:04:07,20-A7-87-4N-HL-UB,18605,13.123.0.12,1896,TCP,82,26880,SK_NUGU,s_firmware_check,0
2018-01-01 00:04:07,13.123.0.12,1899,20-A7-87-4N-HL-UB,18605,TCP,85,87899,SK_NUGU,s_firmware_check,0
2018-01-01 00:04:08,13.123.0.12,1896,20-A7-87-4N-HL-UB,18605,TCP,64,26880,SK_NUGU,s_firmware_check,0
2018-01-01 00:04:09,20-A7-87-4N-HL-UB,3079,13.123.0.12,1896,TCP,99,43082,SK_NUGU,s_firmware_check,0
2018-01-01 00:04:10,13.123.0.12,1896,20-A7-87-4N-HL-UB,3079,TCP,78,43082,SK_NUGU,s_firmware_check,0
2018-01-01 00:04:17,20-A7-87-4N-HL-UB,29426,13.123.0.12,1893,TCP,84,40163,SK_NUGU,s_firmware_check,0
2018-01-01 00:04:18,13.123.0.12,1893,20-A7-87-4N-HL-UB,29426,TCP,89,40163,SK_NUGU,s_firmware_check,0
2018-01-01 00:04:25,20-A7-87-4N-HL-UB,12838,13.123.0.12,1897,TCP,93,4355,SK_NUGU,s_firmware_check,0
2018-01-01 00:04:26,13.123.0.12,1897,20-A7-87-4N-HL-UB,12838,TCP,70,4355,SK_NUGU,s_firmware_check,0
2018-01-01 00:04:29,20-A7-87-4N-HL-UB,44731,13.123.0.12,1897,TCP,97,80497,SK_NUGU,s_firmware_check,0
2018-01-01 00:04:30,13.123.0.12,1897,20-A7-87-4N-HL-UB,44731,TCP,74,80497,SK_NUGU,s_firmware_check,0
2018-01-01 00:04:39,20-A7-87-4N-HL-UB,11392,13.123.0.12,1893,TCP,68,93498,SK_NUGU,s_firmware_check,0
2018-01-01 00:04:40,20-A7-87-4N-HL-UB,41515,13.123.0.12,1894,TCP,63,89499,SK_NUGU,s_firmware_check,0
2018-01-01 00:04:40,13.123.0.12,1893,20-A7-87-4N-HL-UB,11392,TCP,84,93498,SK_NUGU,s_firmware_check,0
2018-01-01 00:04:41,13.123.0.12,1894,20-A7-87-4N-HL-UB,41515,TCP,78,89499,SK_NUGU,s_firmware_check,0
2018-01-01 00:04:47,20-A7-87-4N-HL-UB,31959,13.123.0.12,1898,TCP,77,61259,SK_NUGU,s_firmware_check,0
2018-01-01 00:04:48,13.123.0.12,1898,20-A7-87-4N-HL-UB,31959,TCP,79,61259,SK_NUGU,s_firmware_check,0
2018-01-01 00:04:53,20-A7-87-4N-HL-UB,24312,13.123.0.12,1899,TCP,68,79451,SK_NUGU,s_firmware_check,0
2018-01-01 00:04:54,13.123.0.12,1899,20-A7-87-4N-HL-UB,24312,TCP,84,79451,SK_NUGU,s_firmware_check,0
2018-01-01 00:05:00,20-A7-87-4N-HL-UB,37177,13.123.0.12,1891,TCP,85,68781,SK_NUGU,s_firmware_check,0
2018-01-01 00:05:01,13.123.0.12,1891,20-A7-87-4N-HL-UB,37177,TCP,74,68781,SK_NUGU,s_firmware_check,0
2018-01-01 00:05:06,20-A7-87-4N-HL-UB,63933,13.123.0.12,1899,TCP,89,57396,SK_NUGU,s_firmware_check,0
2018-01-01 00:05:07,13.123.0.12,1899,20-A7-87-4N-HL-UB,63933,TCP,95,57396,SK_NUGU,s_firmware_check,0
2018-01-01 00:05:07,20-A7-87-4N-HL-UB,40805,13.123.0.12,1897,TCP,99,77150,SK_NUGU,s_firmware_check,0
2018-01-01 00:05:08,13.123.0.12,1897,20-A7-87-4N-HL-UB,40805,TCP,93,77150,SK_NUGU,s_firmware_check,0
2018-01-01 00:05:34,20-A7-87-4N-HL-UB,24312,13.123.0.12,1897,TCP,102,14248,SK_NUGU,s_firmware_check,0
2018-01-01 00:05:35,13.123.0.12,1897,20-A7-87-4N-HL-UB,24312,TCP,88,14248,SK_NUGU,s_firmware_check,0
2018-01-01 00:05:37,20-A7-87-4N-HL-UB,32999,13.123.0.12,1897,TCP,75,4019,SK_NUGU,s_firmware_check,0
2018-01-01 00:05:38,13.123.0.12,1897,20-A7-87-4N-HL-UB,32999,TCP,86,4019,SK_NUGU,s_firmware_check,0
2018-01-01 00:05:39,20-A7-87-4N-HL-UB,51987,13.123.0.12,1891,TCP,93,73124,SK_NUGU,s_firmware_check,0
2018-01-01 00:05:39,20-A7-87-4N-HL-UB,30060,13.123.0.12,1894,TCP,73,58194,SK_NUGU,s_firmware_check,0
2018-01-01 00:05:39,20-A7-87-4N-HL-UB,36722,13.123.0.12,1895,TCP,73,70085,SK_NUGU,s_firmware_check,0
2018-01-01 00:05:40,13.123.0.12,1891,20-A7-87-4N-HL-UB,51987,TCP,70,73124,SK_NUGU,s_firmware_check,0
2018-01-01 00:05:40,13.123.0.12,1895,20-A7-87-4N-HL-UB,36722,TCP,85,70085,SK_NUGU,s_firmware_check,0
2018-01-01 00:05:40,13.123.0.12,1894,20-A7-87-4N-HL-UB,30060,TCP,59,58194,SK_NUGU,s_firmware_check,0
2018-01-01 00:05:42,20-A7-87-4N-HL-UB,29311,13.123.0.12,1892,TCP,76,91870,SK_NUGU,s_firmware_check,0
2018-01-01 00:05:42,20-A7-87-4N-HL-UB,32074,13.123.0.12,1890,TCP,77,8567,SK_NUGU,s_firmware_check,0
2018-01-01 00:05:43,13.123.0.12,1890,20-A7-87-4N-HL-UB,32074,TCP,69,8567,SK_NUGU,s_firmware_check,0
2018-01-01 00:05:43,13.123.0.12,1892,20-A7-87-4N-HL-UB,29311,TCP,94,91870,SK_NUGU,s_firmware_check,0
2018-01-01 00:05:44,20-A7-87-4N-HL-UB,40805,13.123.0.12,1893,TCP,94,35757,SK_NUGU,s_firmware_check,0
2018-01-01 00:05:45,13.123.0.12,1893,20-A7-87-4N-HL-UB,40805,TCP,73,35757,SK_NUGU,s_firmware_check,0
2018-01-01 00:05:45,20-A7-87-4N-HL-UB,40805,13.123.0.12,1897,TCP,92,85543,SK_NUGU,s_firmware_check,0
2018-01-01 00:05:46,13.123.0.12,1897,20-A7-87-4N-HL-UB,40805,TCP,76,85543,SK_NUGU,s_firmware_check,0
2018-01-01 00:06:07,20-A7-87-4N-HL-UB,33226,13.123.0.12,1894,TCP,103,89200,SK_NUGU,s_firmware_check,0
2018-01-01 00:06:08,13.123.0.12,1894,20-A7-87-4N-HL-UB,33226,TCP,76,89200,SK_NUGU,s_firmware_check,0
2018-01-01 00:06:13,20-A7-87-4N-HL-UB,59603,13.123.0.12,1890,TCP,88,38966,SK_NUGU,s_firmware_check,0
2018-01-01 00:06:14,20-A7-87-4N-HL-UB,59996,13.123.0.12,1893,TCP,62,23951,SK_NUGU,s_firmware_check,0
2018-01-01 00:06:14,20-A7-87-4N-HL-UB,40820,13.123.0.12,1894,TCP,88,48035,SK_NUGU,s_firmware_check,0
2018-01-01 00:06:14,13.123.0.12,1890,20-A7-87-4N-HL-UB,59603,TCP,63,38966,SK_NUGU,s_firmware_check,0
2018-01-01 00:06:14,20-A7-87-4N-HL-UB,47635,13.123.0.12,1897,TCP,98,80431,SK_NUGU,s_firmware_check,0
2018-01-01 00:06:15,13.123.0.12,1897,20-A7-87-4N-HL-UB,47635,TCP,67,80431,SK_NUGU,s_firmware_check,0
2018-01-01 00:06:15,13.123.0.12,1894,20-A7-87-4N-HL-UB,40820,TCP,69,48035,SK_NUGU,s_firmware_check,0
2018-01-01 00:06:15,13.123.0.12,1893,20-A7-87-4N-HL-UB,59996,TCP,85,23951,SK_NUGU,s_firmware_check,0
2018-01-01 00:06:15,20-A7-87-4N-HL-UB,31046,13.123.0.12,1891,TCP,101,37723,SK_NUGU,s_firmware_check,0
2018-01-01 00:06:16,20-A7-87-4N-HL-UB,27542,13.123.0.12,1897,TCP,73,28435,SK_NUGU,s_firmware_check,0
2018-01-01 00:06:16,13.123.0.12,1891,20-A7-87-4N-HL-UB,31046,TCP,83,37723,SK_NUGU,s_firmware_check,0
2018-01-01 00:06:17,13.123.0.12,1897,20-A7-87-4N-HL-UB,27542,TCP,79,28435,SK_NUGU,s_firmware_check,0
2018-01-01 00:06:23,20-A7-87-4N-HL-UB,15194,13.123.0.12,1894,TCP,84,77893,SK_NUGU,s_firmware_check,0
2018-01-01 00:06:24,13.123.0.12,1894,20-A7-87-4N-HL-UB,15194,TCP,72,77893,SK_NUGU,s_firmware_check,0
2018-01-01 00:06:36,20-A7-87-4N-HL-UB,7981,13.123.0.12,1898,TCP,84,92709,SK_NUGU,s_firmware_check,0
2018-01-01 00:06:37,13.123.0.12,1898,20-A7-87-4N-HL-UB,7981,TCP,76,92709,SK_NUGU,s_firmware_check,0
2018-01-01 00:06:54,20-A7-87-4N-HL-UB,23086,13.123.0.12,1892,TCP,86,9592,SK_NUGU,s_firmware_check,0
2018-01-01 00:06:54,20-A7-87-4N-HL-UB,3046,13.123.0.12,1895,TCP,71,16007,SK_NUGU,s_firmware_check,0
2018-01-01 00:06:55,13.123.0.12,1892,20-A7-87-4N-HL-UB,23086,TCP,70,9592,SK_NUGU,s_firmware_check,0
2018-01-01 00:06:55,13.123.0.12,1895,20-A7-87-4N-HL-UB,3046,TCP,91,16007,SK_NUGU,s_firmware_check,0
2018-01-01 00:06:56,20-A7-87-4N-HL-UB,7981,13.123.0.12,1897,TCP,68,59558,SK_NUGU,s_firmware_check,0
2018-01-01 00:06:57,20-A7-87-4N-HL-UB,65289,13.123.0.12,1893,TCP,92,75481,SK_NUGU,s_firmware_check,0
2018-01-01 00:06:57,13.123.0.12,1897,20-A7-87-4N-HL-UB,7981,TCP,71,59558,SK_NUGU,s_firmware_check,0
2018-01-01 00:06:58,13.123.0.12,1893,20-A7-87-4N-HL-UB,65289,TCP,80,75481,SK_NUGU,s_firmware_check,0
2018-01-01 00:07:02,20-A7-87-4N-HL-UB,4921,13.123.0.12,1897,TCP,86,36859,SK_NUGU,s_firmware_check,0
2018-01-01 00:07:03,13.123.0.12,1897,20-A7-87-4N-HL-UB,4921,TCP,86,36859,SK_NUGU,s_firmware_check,0
2018-01-01 00:07:11,20-A7-87-4N-HL-UB,60911,13.123.0.12,1891,TCP,89,13108,SK_NUGU,s_firmware_check,0
2018-01-01 00:07:12,13.123.0.12,1891,20-A7-87-4N-HL-UB,60911,TCP,83,13108,SK_NUGU,s_firmware_check,0
2018-01-01 00:07:16,20-A7-87-4N-HL-UB,26670,13.123.0.12,1899,TCP,73,460,SK_NUGU,s_firmware_check,0
2018-01-01 00:07:17,13.123.0.12,1899,20-A7-87-4N-HL-UB,26670,TCP,74,460,SK_NUGU,s_firmware_check,0
2018-01-01 00:07:21,20-A7-87-4N-HL-UB,27182,13.123.0.12,1898,TCP,98,61318,SK_NUGU,s_firmware_check,0
2018-01-01 00:07:21,20-A7-87-4N-HL-UB,24312,13.123.0.12,1891,TCP,85,48273,SK_NUGU,s_firmware_check,0
2018-01-01 00:07:22,13.123.0.12,1898,20-A7-87-4N-HL-UB,27182,TCP,81,61318,SK_NUGU,s_firmware_check,0
2018-01-01 00:07:22,13.123.0.12,1891,20-A7-87-4N-HL-UB,24312,TCP,65,48273,SK_NUGU,s_firmware_check,0
2018-01-01 00:07:25,20-A7-87-4N-HL-UB,47635,13.123.0.12,1891,TCP,79,50333,SK_NUGU,s_firmware_check,0
2018-01-01 00:07:26,13.123.0.12,1891,20-A7-87-4N-HL-UB,47635,TCP,80,50333,SK_NUGU,s_firmware_check,0
2018-01-01 00:07:34,20-A7-87-4N-HL-UB,58675,13.123.0.12,1898,TCP,91,21242,SK_NUGU,s_firmware_check,0
2018-01-01 00:07:35,13.123.0.12,1898,20-A7-87-4N-HL-UB,58675,TCP,77,21242,SK_NUGU,s_firmware_check,0
2018-01-01 00:07:39,20-A7-87-4N-HL-UB,10181,13.123.0.12,1890,TCP,100,11094,SK_NUGU,s_firmware_check,0
2018-01-01 00:07:40,13.123.0.12,1890,20-A7-87-4N-HL-UB,10181,TCP,89,11094,SK_NUGU,s_firmware_check,0
2018-01-01 00:07:46,20-A7-87-4N-HL-UB,7541,13.123.0.12,1899,TCP,77,96492,SK_NUGU,s_firmware_check,0
2018-01-01 00:07:47,20-A7-87-4N-HL-UB,12838,13.123.0.12,1898,TCP,70,7883,SK_NUGU,s_firmware_check,0
2018-01-01 00:07:47,13.123.0.12,1899,20-A7-87-4N-HL-UB,7541,TCP,73,96492,SK_NUGU,s_firmware_check,0
2018-01-01 00:07:48,13.123.0.12,1898,20-A7-87-4N-HL-UB,12838,TCP,64,7883,SK_NUGU,s_firmware_check,0
2018-01-01 00:07:59,20-A7-87-4N-HL-UB,40820,13.123.0.12,1899,TCP,92,47543,SK_NUGU,s_firmware_check,0
2018-01-01 00:08:00,13.123.0.12,1899,20-A7-87-4N-HL-UB,40820,TCP,79,47543,SK_NUGU,s_firmware_check,0
2018-01-01 00:08:05,20-A7-87-4N-HL-UB,12838,13.123.0.12,1891,TCP,77,80547,SK_NUGU,s_firmware_check,0
2018-01-01 00:08:06,13.123.0.12,1891,20-A7-87-4N-HL-UB,12838,TCP,86,80547,SK_NUGU,s_firmware_check,0
2018-01-01 00:08:09,20-A7-87-4N-HL-UB,154,13.123.0.12,1899,TCP,79,7085,SK_NUGU,s_firmware_check,0
2018-01-01 00:08:09,20-A7-87-4N-HL-UB,33544,13.123.0.12,1893,TCP,81,50983,SK_NUGU,s_firmware_check,0
2018-01-01 00:08:10,13.123.0.12,1899,20-A7-87-4N-HL-UB,154,TCP,76,7085,SK_NUGU,s_firmware_check,0
2018-01-01 00:08:10,20-A7-87-4N-HL-UB,32999,13.123.0.12,1893,TCP,94,14033,SK_NUGU,s_firmware_check,0
2018-01-01 00:08:10,13.123.0.12,1893,20-A7-87-4N-HL-UB,33544,TCP,73,50983,SK_NUGU,s_firmware_check,0
2018-01-01 00:08:11,20-A7-87-4N-HL-UB,44484,13.123.0.12,1898,TCP,89,88205,SK_NUGU,s_firmware_check,0
2018-01-01 00:08:11,13.123.0.12,1893,20-A7-87-4N-HL-UB,32999,TCP,88,14033,SK_NUGU,s_firmware_check,0
2018-01-01 00:08:12,13.123.0.12,1898,20-A7-87-4N-HL-UB,44484,TCP,80,88205,SK_NUGU,s_firmware_check,0
