Time,SrcIP,SrcPort,DstIP,DstPort,Protocol,PacketSIZE,Session_id,vendor,service_name,version
2018-01-01 07:20:00,74-2E-FC-6U-O4-BW,64558,52.95.252.252,300,TCP,80,12791,SK_NUGU,s_weather_check,0
2018-01-01 07:20:01,52.95.252.252,300,74-2E-FC-6U-O4-BW,64558,TCP,80,12791,SK_NUGU,s_weather_check,0
2018-01-01 07:20:02,74-2E-FC-6U-O4-BW,64558,52.95.252.252,300,TCP,80,12791,SK_NUGU,s_weather_check,0
2018-01-01 07:20:03,52.95.252.252,300,74-2E-FC-6U-O4-BW,64558,TCP,150,12791,SK_NUGU,s_weather_check,0
2018-01-01 07:20:04,52.95.252.252,300,74-2E-FC-6U-O4-BW,64558,TCP,150,12791,SK_NUGU,s_weather_check,0
2018-01-02 07:19:37,74-2E-FC-6U-O4-BW,25352,52.95.252.152,300,TCP,80,69598,SK_NUGU,s_weather_check,0
2018-01-02 07:19:38,52.95.252.152,300,74-2E-FC-6U-O4-BW,25352,TCP,80,69598,SK_NUGU,s_weather_check,0
2018-01-02 07:19:39,74-2E-FC-6U-O4-BW,25352,52.95.252.152,300,TCP,80,69598,SK_NUGU,s_weather_check,0
2018-01-02 07:19:40,52.95.252.152,300,74-2E-FC-6U-O4-BW,25352,TCP,150,69598,SK_NUGU,s_weather_check,0
2018-01-02 07:19:41,52.95.252.152,300,74-2E-FC-6U-O4-BW,25352,TCP,150,69598,SK_NUGU,s_weather_check,0
2018-01-03 07:19:05,74-2E-FC-6U-O4-BW,51626,52.95.252.150,300,TCP,80,59209,SK_NUGU,s_weather_check,0
2018-01-03 07:19:06,52.95.252.150,300,74-2E-FC-6U-O4-BW,51626,TCP,80,59209,SK_NUGU,s_weather_check,0
2018-01-03 07:19:07,74-2E-FC-6U-O4-BW,51626,52.95.252.150,300,TCP,80,59209,SK_NUGU,s_weather_check,0
2018-01-03 07:19:08,52.95.252.150,300,74-2E-FC-6U-O4-BW,51626,TCP,150,59209,SK_NUGU,s_weather_check,0
2018-01-03 07:19:09,52.95.252.150,300,74-2E-FC-6U-O4-BW,51626,TCP,150,59209,SK_NUGU,s_weather_check,0
2018-01-04 07:19:20,74-2E-FC-6U-O4-BW,33174,52.95.252.104,300,TCP,80,20193,SK_NUGU,s_weather_check,0
2018-01-04 07:19:21,52.95.252.104,300,74-2E-FC-6U-O4-BW,33174,TCP,80,20193,SK_NUGU,s_weather_check,0
2018-01-04 07:19:22,74-2E-FC-6U-O4-BW,33174,52.95.252.104,300,TCP,80,20193,SK_NUGU,s_weather_check,0
2018-01-04 07:19:23,52.95.252.104,300,74-2E-FC-6U-O4-BW,33174,TCP,150,20193,SK_NUGU,s_weather_check,0
2018-01-04 07:19:24,52.95.252.104,300,74-2E-FC-6U-O4-BW,33174,TCP,150,20193,SK_NUGU,s_weather_check,0
2018-01-05 07:19:03,74-2E-FC-6U-O4-BW,2936,52.95.252.198,300,TCP,80,79710,SK_NUGU,s_weather_check,0
2018-01-05 07:19:04,52.95.252.198,300,74-2E-FC-6U-O4-BW,2936,TCP,80,79710,SK_NUGU,s_weather_check,0
2018-01-05 07:19:05,74-2E-FC-6U-O4-BW,2936,52.95.252.198,300,TCP,80,79710,SK_NUGU,s_weather_check,0
2018-01-05 07:19:06,52.95.252.198,300,74-2E-FC-6U-O4-BW,2936,TCP,150,79710,SK_NUGU,s_weather_check,0
2018-01-05 07:19:07,52.95.252.198,300,74-2E-FC-6U-O4-BW,2936,TCP,150,79710,SK_NUGU,s_weather_check,0
2018-01-08 07:19:50,74-2E-FC-6U-O4-BW,20763,52.95.252.117,300,TCP,80,425,SK_NUGU,s_weather_check,0
2018-01-08 07:19:51,52.95.252.117,300,74-2E-FC-6U-O4-BW,20763,TCP,80,425,SK_NUGU,s_weather_check,0
2018-01-08 07:19:52,74-2E-FC-6U-O4-BW,20763,52.95.252.117,300,TCP,80,425,SK_NUGU,s_weather_check,0
2018-01-08 07:19:53,52.95.252.117,300,74-2E-FC-6U-O4-BW,20763,TCP,150,425,SK_NUGU,s_weather_check,0
2018-01-08 07:19:54,52.95.252.117,300,74-2E-FC-6U-O4-BW,20763,TCP,150,425,SK_NUGU,s_weather_check,0
2018-01-09 07:19:48,74-2E-FC-6U-O4-BW,42799,52.95.252.96,300,TCP,80,683,SK_NUGU,s_weather_check,0
2018-01-09 07:19:49,52.95.252.96,300,74-2E-FC-6U-O4-BW,42799,TCP,80,683,SK_NUGU,s_weather_check,0
2018-01-09 07:19:50,74-2E-FC-6U-O4-BW,42799,52.95.252.96,300,TCP,80,683,SK_NUGU,s_weather_check,0
