Time,SrcIP,SrcPort,DstIP,DstPort,PacketSIZE,Session_id,vendor
2018-01-01 00:15:21,192.168.0.85,9724,13.228.14.18,2099,51,27547,Home_camera
2018-01-01 00:15:22,13.228.14.18,2099,192.168.0.85,9724,49,27547,Home_camera
2018-01-01 00:30:05,192.168.0.85,48558,13.228.14.18,1552,55,17313,Home_camera
2018-01-01 00:30:06,13.228.14.18,1552,192.168.0.85,48558,52,17313,Home_camera
2018-01-01 00:45:41,192.168.0.85,9793,13.228.14.18,4541,50,43603,Home_camera
2018-01-01 00:45:42,13.228.14.18,4541,192.168.0.85,9793,52,43603,Home_camera
2018-01-01 01:00:41,192.168.0.85,29751,13.228.14.18,2350,49,23379,Home_camera
2018-01-01 01:00:42,13.228.14.18,2350,192.168.0.85,29751,46,23379,Home_camera
2018-01-01 01:15:06,192.168.0.85,4712,13.228.14.18,3773,52,18112,Home_camera
2018-01-01 01:15:07,13.228.14.18,3773,192.168.0.85,4712,51,18112,Home_camera
2018-01-01 01:30:24,192.168.0.85,3412,13.228.14.18,4956,57,50155,Home_camera
2018-01-01 01:30:25,13.228.14.18,4956,192.168.0.85,3412,53,50155,Home_camera
2018-01-01 01:45:16,192.168.0.85,35979,13.228.14.18,517,45,57660,Home_camera
2018-01-01 01:45:17,13.228.14.18,517,192.168.0.85,35979,47,57660,Home_camera
2018-01-01 02:00:14,192.168.0.85,26928,13.228.14.18,2398,58,23823,Home_camera
2018-01-01 02:00:15,13.228.14.18,2398,192.168.0.85,26928,50,23823,Home_camera
2018-01-01 02:15:53,192.168.0.85,3267,13.228.14.18,3070,43,63933,Home_camera
2018-01-01 02:15:54,13.228.14.18,3070,192.168.0.85,3267,54,63933,Home_camera
2018-01-01 02:30:20,192.168.0.85,6706,13.228.14.18,2095,62,38359,Home_camera
2018-01-01 02:30:21,13.228.14.18,2095,192.168.0.85,6706,51,38359,Home_camera
2018-01-01 02:30:22,13.228.14.18,2095,192.168.0.85,6706,1202,38359,Home_camera
2018-01-01 02:45:18,192.168.0.85,31802,13.228.14.18,1819,50,10985,Home_camera
2018-01-01 02:45:19,13.228.14.18,1819,192.168.0.85,31802,54,10985,Home_camera
2018-01-01 03:00:28,192.168.0.85,44639,13.228.14.18,3795,53,1003,Home_camera
2018-01-01 03:00:29,13.228.14.18,3795,192.168.0.85,44639,54,1003,Home_camera
2018-01-01 03:15:18,192.168.0.85,45525,13.228.14.18,2513,48,10606,Home_camera
2018-01-01 03:15:19,13.228.14.18,2513,192.168.0.85,45525,52,10606,Home_camera
2018-01-01 03:30:15,192.168.0.85,43651,13.228.14.18,2507,52,29097,Home_camera
2018-01-01 03:30:16,13.228.14.18,2507,192.168.0.85,43651,48,29097,Home_camera
2018-01-01 03:45:54,192.168.0.85,47061,13.228.14.18,1574,52,40209,Home_camera
2018-01-01 03:45:55,13.228.14.18,1574,192.168.0.85,47061,44,40209,Home_camera
2018-01-01 04:00:18,192.168.0.85,40596,13.228.14.18,1565,58,59892,Home_camera
2018-01-01 04:00:19,13.228.14.18,1565,192.168.0.85,40596,52,59892,Home_camera
2018-01-01 04:15:56,192.168.0.85,56490,13.228.14.18,4227,48,52876,Home_camera
2018-01-01 04:15:57,13.228.14.18,4227,192.168.0.85,56490,48,52876,Home_camera
2018-01-01 04:30:46,192.168.0.85,43407,13.228.14.18,3707,50,40304,Home_camera
2018-01-01 04:30:47,13.228.14.18,3707,192.168.0.85,43407,52,40304,Home_camera
2018-01-01 04:45:53,192.168.0.85,14762,13.228.14.18,171,56,30173,Home_camera
2018-01-01 04:45:54,13.228.14.18,171,192.168.0.85,14762,56,30173,Home_camera
2018-01-01 05:00:40,192.168.0.85,16227,13.228.14.18,4873,52,36351,Home_camera
