Time,SrcIP,SrcPort,DstIP,DstPort,Protocol,PacketSIZE,Session_id,vendor,service_name,version
2018-01-01 07:06:12,4C-AB-33-Z6-04-PB,33224,52.95.252.249,300,TCP,80,84632,SK_NUGU,s_traffic_check,0
2018-01-01 07:06:13,52.95.252.249,300,4C-AB-33-Z6-04-PB,33224,TCP,80,84632,SK_NUGU,s_traffic_check,0
2018-01-01 07:06:14,4C-AB-33-Z6-04-PB,33224,52.95.252.249,300,TCP,80,84632,SK_NUGU,s_traffic_check,0
2018-01-01 07:06:15,52.95.252.249,300,4C-AB-33-Z6-04-PB,33224,TCP,150,84632,SK_NUGU,s_traffic_check,0
2018-01-01 07:06:16,52.95.252.249,300,4C-AB-33-Z6-04-PB,33224,TCP,150,84632,SK_NUGU,s_traffic_check,0
2018-01-01 11:40:28,4C-AB-33-Z6-04-PB,38305,13.125.130.97,5002,TCP,80,1507,SK_NUGU,s_music_stream,0
2018-01-01 11:40:29,13.125.130.97,5002,4C-AB-33-Z6-04-PB,38305,TCP,80,1507,SK_NUGU,s_music_stream,0
2018-01-01 11:40:30,4C-AB-33-Z6-04-PB,42081,52.219.60.96,5391,TCP,80,1507,SK_NUGU,s_music_stream,0
2018-01-01 11:40:31,52.219.60.96,5391,4C-AB-33-Z6-04-PB,42081,TCP,1000,1507,SK_NUGU,s_music_stream,0
2018-01-01 11:40:32,52.219.60.96,5391,4C-AB-33-Z6-04-PB,42081,TCP,1000,1507,SK_NUGU,s_music_stream,0
2018-01-01 11:40:33,52.219.60.96,5391,4C-AB-33-Z6-04-PB,42081,TCP,1000,1507,SK_NUGU,s_music_stream,0
2018-01-01 11:40:34,52.219.60.96,5391,4C-AB-33-Z6-04-PB,42081,TCP,1000,1507,SK_NUGU,s_music_stream,0
2018-01-01 11:40:35,52.219.60.96,5391,4C-AB-33-Z6-04-PB,42081,TCP,1000,1507,SK_NUGU,s_music_stream,0
2018-01-01 11:40:36,52.219.60.96,5391,4C-AB-33-Z6-04-PB,42081,TCP,1000,1507,SK_NUGU,s_music_stream,0
2018-01-01 11:40:37,52.219.60.96,5391,4C-AB-33-Z6-04-PB,42081,TCP,1000,1507,SK_NUGU,s_music_stream,0
2018-01-01 11:40:38,52.219.60.96,5391,4C-AB-33-Z6-04-PB,42081,TCP,1000,1507,SK_NUGU,s_music_stream,0
2018-01-01 11:40:39,52.219.60.96,5391,4C-AB-33-Z6-04-PB,42081,TCP,1000,1507,SK_NUGU,s_music_stream,0
2018-01-01 11:40:40,52.219.60.96,5391,4C-AB-33-Z6-04-PB,42081,TCP,1000,1507,SK_NUGU,s_music_stream,0
2018-01-01 11:43:58,4C-AB-33-Z6-04-PB,42081,52.219.60.96,5391,TCP,80,1507,SK_NUGU,s_music_stream,0
2018-01-01 11:43:59,52.219.60.96,5391,4C-AB-33-Z6-04-PB,42081,TCP,1000,1507,SK_NUGU,s_music_stream,0
2018-01-01 11:44:00,52.219.60.96,5391,4C-AB-33-Z6-04-PB,42081,TCP,1000,1507,SK_NUGU,s_music_stream,0
2018-01-01 11:44:01,52.219.60.96,5391,4C-AB-33-Z6-04-PB,42081,TCP,1000,1507,SK_NUGU,s_music_stream,0
2018-01-01 11:44:02,52.219.60.96,5391,4C-AB-33-Z6-04-PB,42081,TCP,1000,1507,SK_NUGU,s_music_stream,0
2018-01-01 11:44:03,52.219.60.96,5391,4C-AB-33-Z6-04-PB,42081,TCP,1000,1507,SK_NUGU,s_music_stream,0
2018-01-01 11:44:04,52.219.60.96,5391,4C-AB-33-Z6-04-PB,42081,TCP,1000,1507,SK_NUGU,s_music_stream,0
2018-01-01 11:44:05,52.219.60.96,5391,4C-AB-33-Z6-04-PB,42081,TCP,1000,1507,SK_NUGU,s_music_stream,0
2018-01-01 11:44:06,52.219.60.96,5391,4C-AB-33-Z6-04-PB,42081,TCP,1000,1507,SK_NUGU,s_music_stream,0
2018-01-01 11:44:07,52.219.60.96,5391,4C-AB-33-Z6-04-PB,42081,TCP,1000,1507,SK_NUGU,s_music_stream,0
2018-01-01 11:44:08,52.219.60.96,5391,4C-AB-33-Z6-04-PB,42081,TCP,1000,1507,SK_NUGU,s_music_stream,0
2018-01-01 11:47:27,4C-AB-33-Z6-04-PB,42081,52.219.60.96,5391,TCP,80,1507,SK_NUGU,s_music_stream,0
2018-01-01 11:47:28,52.219.60.96,5391,4C-AB-33-Z6-04-PB,42081,TCP,1000,1507,SK_NUGU,s_music_stream,0
2018-01-01 11:47:29,52.219.60.96,5391,4C-AB-33-Z6-04-PB,42081,TCP,1000,1507,SK_NUGU,s_music_stream,0
